Code	Display
105592	etoposide 50 MG Oral Capsule [Vepesid]
1157928	etoposide Injectable Product
376890	etoposide Injectable Solution
362881	etoposide Injectable Solution [Toposar]
362972	etoposide Injectable Solution [Vepesid]
1734339	etoposide Injection
372132	etoposide Oral Capsule
366233	etoposide Oral Capsule [Vepesid]
1157929	etoposide Oral Product
1157930	etoposide Pill
1178005	Toposar Injectable Product
1187877	Vepesid Injectable Product
1187878	Vepesid Oral Product
1187879	Vepesid Pill
24698	fludarabine
877487	Oforta
1165043	fludarabine Injectable Product
1740863	fludarabine Injection
828708	fludarabine Oral Capsule
1165044	fludarabine Oral Product
393413	fludarabine Oral Tablet
828705	fludarabine phosphate 10 MG
328431	fludarabine phosphate 25 MG/ML
1740862	fludarabine phosphate 50 MG
1165045	fludarabine Pill
6718	melphalan
151325	Alkeran
1745086	Evomela
317646	melphalan 2 MG
332190	melphalan 5 MG
1740948	melphalan 50 MG
446276	melphalan Extended Release Oral Tablet
1159787	melphalan Injectable Product
1740949	melphalan Injection
1159788	melphalan Oral Product
372756	melphalan Oral Tablet
1159789	melphalan Pill
226754	Rituxan
121191	rituximab
2105824	rituximab-abbs
2105827	Truxima
2472325	rituximab-arrx
2273510	rituximab-pvvr
2472328	Riabni
1927886	Rituxan Hycela
2273513	Ruxience
1657864	10 ML rituximab 10 MG/ML Injection [Rituxan]
2105831	10 ML rituximab-abbs 10 MG/ML Injection [Truxima]
1657868	50 ML rituximab 10 MG/ML Injection [Rituxan]
2105835	50 ML rituximab-abbs 10 MG/ML Injection [Truxima]
1927882	hyaluronidase / rituximab Injectable Product
1927883	hyaluronidase / rituximab Injection
1185345	Rituxan Injectable Product
316648	rituximab 10 MG/ML
573051	rituximab 10 MG/ML [Rituxan]
1657866	rituximab 10 MG/ML Injection [Rituxan]
1927881	rituximab 120 MG/ML
1157967	rituximab Injectable Product
1657861	rituximab Injection
1657863	rituximab Injection [Rituxan]
2105829	rituximab Injection [Truxima]
2105828	rituximab-abbs 10 MG/ML [Truxima]
2105833	rituximab-abbs 10 MG/ML Injection [Truxima]
2472326	rituximab-arrx 10 MG/ML
2273511	rituximab-pvvr 10 MG/ML
2105830	Truxima Injectable Product
2105825	rituximab-abbs 10 MG/ML
1366537	Tepadina
224924	Thioplex
10473	thiotepa
1919208	Tepadina Injectable Product
1177866	Thioplex Injectable Product
340261	thiotepa 10.4 MG/ML
575228	thiotepa 10.4 MG/ML [Thioplex]
318248	thiotepa 10.4 MG/ML Injectable Solution [Thioplex]
1660002	thiotepa 100 MG
1919206	thiotepa 100 MG [Tepadina]
1919209	thiotepa 100 MG Injection [Tepadina]
1660008	thiotepa 15 MG
1919210	thiotepa 15 MG [Tepadina]
1919211	thiotepa 15 MG Injection [Tepadina]
1156487	thiotepa Injectable Product
375319	thiotepa Injectable Solution
363194	thiotepa Injectable Solution [Thioplex]
1660003	thiotepa Injection
1919207	thiotepa Injection [Tepadina]
38508	treosulfan
336841	treosulfan 250 MG
393483	treosulfan 50 MG/ML
1162765	treosulfan Injectable Product
377198	treosulfan Injectable Solution
374186	treosulfan Oral Capsule
1162766	treosulfan Oral Product
1162767	treosulfan Pill
215007	Actigall
220706	Urso
11065	ursodiol
62427	ursodeoxycholate
151610	Destolit
2477891	Reltone
153695	Urdox
544268	Urso Forte
152480	Ursofalk
153628	Ursogal
1169904	Actigall Oral Product
1169905	Actigall Pill
1186788	Urso Oral Product
1186789	Urso Pill
632296	ursodeoxycholate Oral Capsule [Actigall]
632450	ursodeoxycholate Oral Capsule [Urso]
632416	ursodeoxycholate Oral Tablet [Urso]
858745	ursodiol 250 MG [Urso]
858746	ursodiol 250 MG Oral Capsule [Urso]
858752	ursodiol 250 MG Oral Tablet [Urso]
858748	ursodiol 300 MG [Actigall]
858749	ursodiol 300 MG Oral Capsule [Actigall]
384895	ursodiol 100 MG
360514	ursodiol 125 MG
858330	ursodiol 150 MG
452499	ursodiol 200 MG
360513	ursodiol 250 MG
858328	ursodiol 300 MG
452500	ursodiol 400 MG
452502	ursodiol 50 MG
858332	ursodiol 50 MG/ML
858732	ursodiol 500 MG
