Code	Display
29590-7	Cytomegalovirus DNA [Mass/volume] (viral load) in Blood by Probe
29604-6	Cytomegalovirus DNA [#/volume] (viral load) in Blood by NAA with probe detection
30247-1	Cytomegalovirus DNA [#/volume] (viral load) in Serum or Plasma by NAA with probe detection
32170-3	Cytomegalovirus Ab [Titer] in Serum or Plasma by Immunofluorescence
49349-4	Cytomegalovirus DNA [#/volume] (viral load) in Bronchoalveolar lavage by NAA with probe detection
5121-9	Cytomegalovirus Ab [Titer] in Serum or Plasma by Latex agglutination
5122-7	Cytomegalovirus Ab [Units/volume] in Serum or Plasma by Immunofluorescence
5124-3	Cytomegalovirus IgG Ab [Units/volume] in Serum or Plasma by Immunoassay
5125-0	Cytomegalovirus IgG Ab [Titer] in Serum or Plasma by Immunofluorescence
5126-8	Cytomegalovirus IgM Ab [Units/volume] in Serum or Plasma by Immunoassay
5127-6	Cytomegalovirus IgM Ab [Titer] in Serum or Plasma by Immunofluorescence
52976-8	Cytomegalovirus Ab [Units/volume] in Serum by Complement fixation
54206-8	Cytomegalovirus DNA [Log #/volume] (viral load) in Serum or Plasma by NAA with probe detection
72493-0	Cytomegalovirus DNA [Units/volume] (viral load) in Plasma by NAA with probe detection
72494-8	Cytomegalovirus DNA [log units/volume] (viral load) in Plasma by NAA with probe detection
7851-9	Cytomegalovirus Ab [Units/volume] in Serum or Plasma
7852-7	Cytomegalovirus IgG Ab [Units/volume] in Serum or Plasma
7853-5	Cytomegalovirus IgM Ab [Units/volume] in Serum or Plasma
88545-9	Cytomegalovirus DNA [#/volume] (viral load) in DBS by NAA with probe detection
9513-3	Cytomegalovirus Ab [Titer] in Serum by Complement fixation
32791-6	Cytomegalovirus IgG Ab [Ratio] in Serum or Plasma by Immunoassay --1st specimen/2nd specimen
32835-1	Cytomegalovirus IgG Ab [Ratio] in Serum or Plasma --1st specimen/2nd specimen
52984-2	Cytomegalovirus IgG Ab avidity [Ratio] in Serum or Plasma by Immunoassay
78445-4	Cytomegalovirus IgG Ab avidity [Presence] in Serum or Plasma by Immunoassay
67805-2	Cytomegalovirus Ag [Presence] in Isolate by Immunofluorescence
59838-3	Cytomegalovirus Ab [Presence] in Serum or Plasma by Latex agglutination
30325-5	Cytomegalovirus IgM Ab [Presence] in Serum or Plasma
13949-3	Cytomegalovirus IgG Ab [Presence] in Serum or Plasma by Immunoassay
22239-8	Cytomegalovirus Ab [Presence] in Serum or Plasma
24119-0	Cytomegalovirus IgM Ab [Presence] in Serum or Plasma by Immunoassay
6377-6	Cytomegalovirus Ag [Presence] in Serum or Plasma by Immunofluorescence
6376-8	Cytomegalovirus Ag [Presence] in Serum or Plasma by Immunoassay
5835-4	Cytomegalovirus [Presence] in Blood by Organism specific culture
54164-9	Cytomegalovirus immediate-early Ag [Presence] in Blood
4996-5	Cytomegalovirus DNA [Presence] in Blood by NAA with probe detection
49539-0	Cytomegalovirus IgM Ab [Presence] in Serum or Plasma by Immunofluorescence
43703-8	Cytomegalovirus [Presence] in Blood by Shell vial culture
31795-8	Cytomegalovirus Ag [Presence] in Serum or Plasma
30246-3	Cytomegalovirus DNA [Presence] in Serum or Plasma by NAA with probe detection
15377-5	Cytomegalovirus Ab [Presence] in Serum by Latex agglutination
16718-9	Cytomegalovirus Ag [Presence] in Blood
22244-8	Cytomegalovirus IgG Ab [Presence] in Serum or Plasma
28008-1	Cytomegalovirus DNA [Presence] in Blood by Probe with signal amplification
20475-0	Cytomegalovirus IgG Ab [Interpretation] in Serum or Plasma
87424-8	Cytomegalovirus IgG and IgM panel - Serum or Plasma Qualitative
88535-0	Cytomegalovirus DNA [Presence] in DBS by NAA with probe detection
95184-8	Cytomegalovirus T-cell immunodeficiency panel - Blood by Flow cytometry (FC)
78006-4	Isotopic Glomerular filtration rate/1.73 sq M [Volume Rate/Area] in Urine and Serum or Plasma
96591-3	Glomerular filtration rate/1.73 sq M.predicted among blacks [Volume Rate/Area] in DBS
69405-9	Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood
96592-1	Glomerular filtration rate/1.73 sq M.predicted among non-blacks [Volume Rate/Area] in DBS
50384-7	Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (Schwartz)
50210-4	Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood by Cystatin-based formula
62238-1	Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (CKD-EPI)
77147-7	Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (MDRD)
88293-6	Glomerular filtration rate/1.73 sq M.predicted among blacks [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (CKD-EPI)
48643-1	Glomerular filtration rate/1.73 sq M.predicted among blacks [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (MDRD)
50044-7	Glomerular filtration rate/1.73 sq M.predicted among females [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (MDRD)
70969-1	Glomerular filtration rate/1.73 sq M.predicted among males [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (MDRD)
88294-4	Glomerular filtration rate/1.73 sq M.predicted among non-blacks [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (CKD-EPI)
48642-3	Glomerular filtration rate/1.73 sq M.predicted among non-blacks [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (MDRD)
87430-5	Cystatin C and Glomerular filtration rate by Cystatin-based formula panel - Serum or Plasma
45066-8	Creatinine and Glomerular filtration rate.predicted panel - Serum, Plasma or Blood
94677-2	Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine and Cystatin C-based formula (CKD-EPI)
98979-8	Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (CKD-EPI 2021)
2164-2	Creatinine renal clearance in 24 hour Urine and Serum or Plasma
6690-2	Leukocytes [#/volume] in Blood by Automated count
804-5	Leukocytes [#/volume] in Blood by Manual count
26464-8	Leukocytes [#/volume] in Blood
49498-9	Leukocytes [#/volume] in Blood by Estimate
789-8	Erythrocytes [#/volume] in Blood by Automated count
26453-1	Erythrocytes [#/volume] in Blood
790-6	Erythrocytes [#/volume] in Blood by Manual count
93846-4	Hemoglobin [Moles/volume] in Venous blood
718-7	Hemoglobin [Mass/volume] in Blood
30313-1	Hemoglobin [Mass/volume] in Arterial blood
30350-3	Hemoglobin [Mass/volume] in Venous blood
14775-1	Hemoglobin [Mass/volume] in Arterial blood by Oximetry
30351-1	Hemoglobin [Mass/volume] in Mixed venous blood
20509-6	Hemoglobin [Mass/volume] in Blood by calculation
75928-2	Hemoglobin [Moles/volume] in Arterial blood
55782-7	Hemoglobin [Mass/volume] in Blood by Oximetry
59260-0	Hemoglobin [Moles/volume] in Blood
76768-1	Hemoglobin [Mass/volume] in Mixed venous blood by Oximetry
76769-9	Hemoglobin [Mass/volume] in Venous blood by Oximetry
4633-4	Hemoglobin F/Hemoglobin.total in Blood by Kleihauer-Betke method
4576-5	Hemoglobin F/Hemoglobin.total in Blood
42246-9	Hemoglobin F/Hemoglobin.total in Blood by HPLC
32682-7	Hemoglobin F/Hemoglobin.total in Blood by Electrophoresis
38524-5	Hemoglobin F/Hemoglobin.total in Blood by Electrophoresis alkaline (pH 8.9)
71863-5	Hemoglobin F/Hemoglobin.total [Pure mass fraction] in Blood by Kleihauer-Betke method
71864-3	Hemoglobin F/Hemoglobin.total [Pure mass fraction] in Blood by HPLC
71865-0	Hemoglobin F/Hemoglobin.total [Pure mass fraction] in Blood by Electrophoresis
20570-8	Hematocrit [Volume Fraction] of Blood
31100-1	Hematocrit [Volume Fraction] of Blood by Impedance
4545-0	Hematocrit [Volume Fraction] of Blood by Centrifugation
4544-3	Hematocrit [Volume Fraction] of Blood by Automated count
42908-4	Hematocrit [Volume Fraction] of Capillary blood
41654-5	Hematocrit [Volume Fraction] of Venous blood
48703-3	Hematocrit [Volume Fraction] of Blood by Estimated
71829-6	Hematocrit [Pure volume fraction] of Venous blood
71831-2	Hematocrit [Pure volume fraction] of Capillary blood
71833-8	Hematocrit [Pure volume fraction] of Blood by Automated count
26515-7	Platelets [#/volume] in Blood
778-1	Platelets [#/volume] in Blood by Manual count
777-3	Platelets [#/volume] in Blood by Automated count
49497-1	Platelets [#/volume] in Blood by Estimate
28542-9	Platelet mean volume [Entitic volume] in Blood
32623-1	Platelet mean volume [Entitic volume] in Blood by Automated count
732-8	Lymphocytes [#/volume] in Blood by Manual count
731-0	Lymphocytes [#/volume] in Blood by Automated count
26474-7	Lymphocytes [#/volume] in Blood
26478-8	Lymphocytes/100 leukocytes in Blood
736-9	Lymphocytes/100 leukocytes in Blood by Automated count
737-7	Lymphocytes/100 leukocytes in Blood by Manual count
26484-6	Monocytes [#/volume] in Blood
742-7	Monocytes [#/volume] in Blood by Automated count
743-5	Monocytes [#/volume] in Blood by Manual count
5905-5	Monocytes/100 leukocytes in Blood by Automated count
26485-3	Monocytes/100 leukocytes in Blood
744-3	Monocytes/100 leukocytes in Blood by Manual count
751-8	Neutrophils [#/volume] in Blood by Automated count
753-4	Neutrophils [#/volume] in Blood by Manual count
26499-4	Neutrophils [#/volume] in Blood
770-8	Neutrophils/100 leukocytes in Blood by Automated count
26511-6	Neutrophils/100 leukocytes in Blood
23761-0	Neutrophils/100 leukocytes in Blood by Manual count
26508-2	Band form neutrophils/100 leukocytes in Blood
764-1	Band form neutrophils/100 leukocytes in Blood by Manual count
35332-6	Band form neutrophils/100 leukocytes in Blood by Automated count
32200-8	Segmented neutrophils/100 leukocytes in Blood by Automated count
26505-8	Segmented neutrophils/100 leukocytes in Blood
769-0	Segmented neutrophils/100 leukocytes in Blood by Manual count
709-6	Blasts/100 leukocytes in Blood
26446-5	Blasts/100 leukocytes in Blood
707-0	Basophils/100 leukocytes in Blood by Manual count
706-2	Basophils/100 leukocytes in Blood by Automated count
30180-4	Basophils/100 leukocytes in Blood
712-0	Eosinophils [#/volume] in Blood by Manual count
26449-9	Eosinophils [#/volume] in Blood
711-2	Eosinophils [#/volume] in Blood by Automated count
26450-7	Eosinophils/100 leukocytes in Blood
713-8	Eosinophils/100 leukocytes in Blood by Automated count
714-6	Eosinophils/100 leukocytes in Blood by Manual count
30458-4	Plasma cells [#/volume] in Blood
24103-4	Plasma cells [#/volume] in Blood by Manual count
13047-6	Plasma cells/100 leukocytes in Blood
79426-3	Plasma cells/100 leukocytes in Blood by Manual count
33855-8	Promonocytes [#/volume] in Blood by Manual count
34926-6	Promonocytes [#/volume] in Blood
13599-6	Promonocytes/100 leukocytes in Blood by Manual count
30466-7	Promonocytes/100 leukocytes in Blood
26523-1	Promyelocytes [#/volume] in Blood
781-5	Promyelocytes [#/volume] in Blood by Manual count
783-1	Promyelocytes/100 leukocytes in Blood by Manual count
71666-2	Promyelocytes/Leukocytes [Pure number fraction] in Blood by Manual count
26524-9	Promyelocytes/100 leukocytes in Blood by Manual count
30444-4	Myeloblasts [#/volume] in Blood
746-8	Myeloblasts [#/volume] in Blood by Manual count
30445-1	Myeloblasts/100 leukocytes in Blood
747-6	Myeloblasts/100 leukocytes in Blood by Manual count
748-4	Myelocytes [#/volume] in Blood by Manual count
30446-9	Myelocytes [#/volume] in Blood
26498-6	Myelocytes/100 leukocytes in Blood
749-2	Myelocytes/100 leukocytes in Blood by Manual count
71667-0	Myelocytes/Leukocytes [Pure number fraction] in Blood by Manual count
739-3	Metamyelocytes [#/volume] in Blood by Manual count
30433-7	Metamyelocytes [#/volume] in Blood
740-1	Metamyelocytes/100 leukocytes in Blood by Manual count
28541-1	Metamyelocytes/100 leukocytes in Blood
71668-8	Metamyelocytes/Leukocytes [Pure number fraction] in Blood by Manual count
6746-2	Prolymphocytes/100 leukocytes in Blood by Manual count
30465-9	Prolymphocytes/100 leukocytes in Blood
14196-0	Reticulocytes [#/volume] in Blood
40665-2	Reticulocytes [#/volume] in Blood by Manual count
60474-4	Reticulocytes [#/volume] in Blood by Automated count
31112-6	Reticulocytes/100 erythrocytes in Blood by Manual
17849-1	Reticulocytes/100 erythrocytes in Blood by Automated count
4679-7	Reticulocytes/100 erythrocytes in Blood
1751-7	Albumin [Mass/volume] in Serum or Plasma
2862-1	Albumin [Mass/volume] in Serum or Plasma by Electrophoresis
61151-7	Albumin [Mass/volume] in Serum or Plasma by Bromocresol green (BCG) dye binding method
61152-5	Albumin [Mass/volume] in Serum or Plasma by Bromocresol purple (BCP) dye binding method
1952-1	Beta-2-Microglobulin [Mass/volume] in Serum or Plasma
76484-5	Beta-2-Microglobulin [Moles/volume] in Serum or Plasma
2276-4	Ferritin [Mass/volume] in Serum or Plasma
24373-3	Ferritin [Mass/volume] in Blood
20567-4	Ferritin [Mass/volume] in Serum or Plasma by Immunoassay
11150-0	Blasts/100 cells in Bone marrow
57028-3	Iron [Mass/mass] in Liver
2160-0	Creatinine [Mass/volume] in Serum or Plasma
14682-9	Creatinine [Moles/volume] in Serum or Plasma
77140-2	Creatinine [Moles/volume] in Serum, Plasma or Blood
